Nom Com,Code Iris,Classement de SCORE GLOBAL region 1,Nom Iris,Population,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES,,DEPARTEMENTS,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES,REGIONS,SCORE GLOBAL ,ACCÈS AUX INTERFACES NUMERIQUES,ACCES A L'INFORMATION,COMPETENCES ADMINISTATIVES,COMPÉTENCES NUMÉRIQUES / SCOLAIRES,GLOBAL ACCES,GLOBAL COMPETENCES
Appenwihr,680080000,42 283,Appenwihr,568,75,112,59,63,78,77,73,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Appeville,500160000,1 272,Appeville,177,133,95,172,98,129,146,119,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Appeville-Annebault,270180000,39 812,Appeville-Annebault,1 024,78,100,46,81,97,64,92,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Appietto,2A0170000,30 293,Appietto,1 819,86,118,72,90,82,88,85,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Appilly,600210000,36 241,Appilly,537,81,100,51,96,95,67,95,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Appoigny,890130000,22 452,Appoigny,3 174,93,105,82,84,103,89,97,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apprieu,380130000,42 423,Apprieu,3 280,75,109,57,79,74,74,76,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Appy,90120000,48 825,Appy,24,52,0,67,49,66,45,60,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apremont,850060000,25 141,Apremont,1 799,91,93,86,85,97,88,93,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apremont,730170000,30 474,Apremont,1 026,86,112,72,72,94,86,87,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apremont,700240000,23 750,Apremont,467,92,95,89,106,87,91,93,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apremont,600220000,12 707,Apremont,673,103,163,90,65,106,114,93,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apremont,80170000,26 220,Apremont,118,90,92,58,72,130,69,110,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apremont,10110000,46 012,Apremont,383,69,105,35,66,86,58,79,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apremont-la-Forêt,550120000,38 222,Apremont-la-Forêt,398,79,91,67,73,89,75,84,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apremont-sur-Allier,180070000,37 419,Apremont-sur-Allier,71,80,0,87,78,114,58,102,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Aprey,520140000,34 452,Aprey,190,83,94,64,88,94,74,92,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apt,840030202,22 069,Sud,2 307,93,82,82,83,116,82,105,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apt,840030201,20 836,Nord,2 295,95,82,89,68,120,87,102,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apt,840030103,16 171,Centre Nord,3 046,99,82,108,97,100,100,99,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apt,840030102,6 826,Centre Sud,1 881,113,82,114,84,141,103,122,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Apt,840030101,1 973,Centre Ouest,2 181,128,82,170,107,119,141,115,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arabaux,90130000,48 652,Arabaux,73,55,0,45,64,89,30,81,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arâches-la-Frasse,740140000,31 047,Arâches-la-Frasse,1 921,86,114,93,91,62,100,72,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Aragnouet,650170000,24 460,Aragnouet,247,91,102,126,80,56,118,64,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Aragon,110110000,21 041,Aragon,435,94,106,98,67,99,101,88,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Aramits,640290000,20 417,Aramits,673,95,95,86,54,125,89,101,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Aramon,300120000,19 528,Aramon,4 258,96,103,102,90,89,102,89,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Aranc,10120000,18 781,Aranc,326,97,103,90,50,124,94,99,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arancou,640310000,25 549,Arancou,156,90,95,111,51,86,106,75,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arandas,10130000,43 464,Arandas,148,73,93,42,58,102,59,88,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arandon-Passins,382970000,31 365,Arandon-Passins,1 797,85,94,64,86,102,74,97,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Araujuzon,640320000,13 920,Araujuzon,203,102,84,112,83,110,103,101,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Araules,430070000,22 392,Araules,597,93,84,80,79,117,82,105,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Araux,640330000,37 597,Araux,146,80,93,71,99,74,78,82,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbanats,330070000,38 380,Arbanats,1 229,79,108,69,87,71,82,76,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbas,310110000,7 278,Arbas,262,112,92,141,47,125,125,99,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbecey,700250000,15 606,Arbecey,263,100,82,87,116,114,85,114,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbellara,2A0180000,29 041,Arbellara,153,87,79,88,54,108,85,90,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbent,10140000,20 500,Arbent,3 379,95,95,72,81,124,80,110,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbéost,650180000,48 530,Arbéost,85,57,0,31,62,108,20,93,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbérats-Sillègue,640340000,36 600,Arbérats-Sillègue,264,81,107,79,87,66,89,73,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbigny,10160000,43 401,Arbigny,462,74,99,35,76,98,56,91,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbigny-sous-Varennes,520150000,39 870,Arbigny-sous-Varennes,92,78,0,47,58,158,31,124,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbin,730180000,19 166,Arbin,787,96,112,92,62,109,99,93,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbis,330080000,14 594,Arbis,276,101,96,108,90,102,104,98,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arblade-le-Bas,320040000,43 627,Arblade-le-Bas,153,73,103,54,47,90,71,76,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arblade-le-Haut,320050000,32 264,Arblade-le-Haut,300,85,106,62,55,111,77,93,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbois,390130000,8 165,Arbois,3 350,110,97,113,82,128,108,113,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbon,310120000,45 524,Arbon,100,70,0,45,48,141,30,110,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbonne,640350000,38 448,Arbonne,2 164,79,119,67,67,77,84,74,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbonne-la-Forêt,770060000,20 874,Arbonne-la-Forêt,1 011,95,114,75,72,116,88,101,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arboras,340110000,44 860,Arboras,126,71,87,85,41,64,86,56,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbori,2A0190000,9 041,Arbori,54,109,0,100,34,209,67,151,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbot,520160000,40 813,Arbot,72,77,0,47,89,139,31,122,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbouans,250200000,21 080,Arbouans,930,94,99,77,97,108,85,104,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arboucave,400050000,44 793,Arboucave,201,71,86,37,74,96,54,89,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbouet-Sussaute,640360000,33 090,Arbouet-Sussaute,312,84,100,83,71,83,89,79,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbourse,580090000,9 746,Arbourse,125,108,106,123,19,137,117,98,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arboussols,660070000,15 074,Arboussols,115,101,86,119,57,111,108,93,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arboys en Bugey,10150000,29 673,Arboys en Bugey,640,87,103,64,81,105,77,97,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbrissel,350050000,47 145,Arbrissel,303,65,90,31,99,70,51,80,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbus,640370000,41 687,Arbus,1 187,76,110,66,85,64,81,71,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arbusigny,740150000,43 149,Arbusigny,1 102,74,140,55,88,53,83,65,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arcachon,330090105,4 139,Aiguillon,2 560,119,119,126,67,139,124,115,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arcachon,330090104,4 116,Saint-Ferdinand,1 805,119,119,103,52,170,108,130,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arcachon,330090103,1 849,Ville d'Ete,3 351,129,119,125,58,172,123,134,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arcachon,330090102,7 838,Pereire-Ville-d'Hiver,1 551,111,119,94,30,164,102,120,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arcachon,330090101,11 448,Le Moulleau-Les Abatilles,1 853,105,119,96,63,129,103,107,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arçais,790100000,21 678,Arçais,614,94,95,70,74,126,79,109,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arcambal,460070000,26 057,Arcambal,997,90,106,78,58,109,87,92,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arcangues,640380000,35 749,Arcangues,3 147,82,118,61,68,91,80,84,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arçay,860080000,17 602,Arçay,363,98,96,74,97,122,82,114,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arçay,180080000,45 937,Arçay,515,69,103,57,83,56,73,65,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arceau,210160000,46 398,Arceau,869,68,131,43,76,56,73,63,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arcenant,210170000,42 087,Arcenant,510,75,116,53,94,68,74,77,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arc-en-Barrois,520170000,9 659,Arc-en-Barrois,766,108,99,83,66,158,88,127,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arcens,70120000,11 243,Arcens,368,105,77,91,76,149,86,125,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arces,170150000,40 692,Arces,746,77,89,59,82,87,69,85,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arces-Dilo,890140000,13 140,Arces-Dilo,616,103,103,82,58,146,89,117,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arc-et-Senans,250210000,15 049,Arc-et-Senans,1 630,101,98,110,79,103,106,95,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arcey,250220000,26 273,Arcey,1 438,90,109,84,82,89,93,87,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arcey,210180000,49 210,Arcey,52,37,0,26,59,56,17,57,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Archail,40090000,45 595,Archail,15,70,0,67,0,142,45,95,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Archamps,740160000,13 302,Archamps,2 571,103,217,106,79,54,143,62,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Archelange,390140000,45 282,Archelange,223,70,109,56,58,71,74,67,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arches,880110000,18 589,Arches,1 639,97,99,99,98,93,99,94,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Arches,150100000,17 892,Arches,176,97,90,60,68,153,70,125,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Archettes,880120000,19 920,Archettes,1 094,95,106,88,81,105,94,97,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Archiac,170160000,7 785,Archiac,770,111,92,102,87,141,99,123,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Archignac,240120000,40 715,Archignac,355,77,89,51,65,102,64,90,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Archignat,30050000,16 065,Archignat,335,99,78,110,100,99,100,99,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
Archigny,860090000,20 875,Archigny,1 108,95,92,87,65,118,89,100,,ALLIER,92.25203252,86.04336043,85.65311653,81.57723577,107.2357724,85.80216802,98.67750678,AUVERGNE RHONE ALPES,92.93585044,93.30956745,86.43731672,87.21957478,102.1092375,88.72415689,97.1497434
